ITEM_ID,CURRENT_PATH,PROPOSED_PATH,CURRENT_ROLE,PROPOSED_ROLE,ACTION_GROUP,RISK,REASON,REFERENCE_UPDATE_TARGETS,FOLDER_RENAME,MERGE,ARCHIVE,APPROVAL_REQUIRED,BLOCKER,VALIDATION
M-011,00_PROJECT/03_BUSINESS/01_정리된_근거자료,01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_NORMALIZED_EVIDENCE(정규화_근거),INPUT,INPUT,CONDITIONAL MOVE,HIGH,정규화 증거층,Evidence Register·Workbook 갱신,YES,NO,NO,YES,중복은 의도적 provenance,Evidence ID·SHA 보존
M-012,"00_PROJECT/03_BUSINESS/{canonical md,csv,xlsx}",00_CONTROL(프로젝트_통제)/04_COMMERCIAL(판매구조_정본)/,CONTROL,CONTROL,CONDITIONAL MOVE,HIGH,제품·재고·원가·상업 정본,00_PROJECT 절대경로 19개 + 오타 2개,YES,NO,NO,YES,~$PROJECT_ECONOMICS.xlsx,Workbook CRC·수식·링크·금액
M-013,00_PROJECT/04_ASSETS/ASSET_INDEX.csv,00_CONTROL(프로젝트_통제)/05_ASSET_CONTROL(자산_관리)/ASSET_INDEX.csv,CONTROL,CONTROL,CONDITIONAL MOVE,CRITICAL,961개 file_path 정본,"상호배타 최소 경로 토큰 1,590 = 자산 1,438 + 00_PROJECT 텍스트 133 + Workbook 19",YES,NO,NO,YES,원자적 rewrite 필수,961/961 존재·ID/path unique
M-014,"00_PROJECT/04_ASSETS/{ASSET_CURATED,QR_CONTINUITY_REGISTER}",00_CONTROL(프로젝트_통제)/05_ASSET_CONTROL(자산_관리)/,CONTROL,CONTROL,CONDITIONAL MOVE,HIGH,자산 해석·QR 관리,Story/Visual/HTML 포인터,YES,NO,NO,YES,Asset cutover 동시,자산 ID와 상태 불변
M-015,00_PROJECT/05_STRATEGY,00_CONTROL(프로젝트_통제)/02_STRATEGY(전략),CONTROL,CONTROL,CONDITIONAL MOVE,HIGH,전략 정본군,Campaign/Offer/Visual 직접 참조,YES,NO,NO,YES,Amendment 통합 판단,정본 링크·고정 언어
M-016,00_PROJECT/06_STORY/STORY_MASTER.md,00_CONTROL(프로젝트_통제)/03_STORY(스토리_정본)/STORY_MASTER.md,CONTROL,CONTROL,CONDITIONAL MOVE,HIGH,Story 정본,직접 참조 47회/30파일,YES,NO,NO,YES,최신 섹션 번호 기준,12 Core+Utility 유지
M-017,00_PROJECT/06_STORY/WADIZ_WORKING_PROTOTYPE__와디즈_작업용_시안.html,02_WORKING(작업중)/06_PROTOTYPE(상세페이지_시안)/WADIZ_WORKING_PROTOTYPE__와디즈_작업용_시안.html,WORKING,WORKING,CONDITIONAL MOVE,CRITICAL,작업용 HTML,47 asset src + Story/Control 포인터,YES,NO,NO,YES,Asset cutover 동시,5폭 overflow/broken/leak 0
M-018,00_PROJECT/99_REFERENCE,01_INPUT(입력_원본)/12_REFERENCE(외부_참고자료),INPUT,INPUT,CONDITIONAL MOVE,MEDIUM,공식/외부 참고,문서 포인터 갱신,YES,NO,NO,YES,공식 출처 추적,URL·파일 존재
M-019,01_BRAND,01_INPUT(입력_원본)/01_BRAND(브랜드),INPUT,INPUT,CONDITIONAL MOVE,HIGH,브랜드 원본,직접 참조 28회/10파일,YES,NO,NO,YES,Asset Index rewrite,등록 자산 전수 존재
M-020,02_KOREA_TOUR,01_INPUT(입력_원본)/02_KOREA_TOUR(코리아투어_프로젝트),INPUT,INPUT,CONDITIONAL MOVE,CRITICAL,Identity·Invitation·Ticket·Package,직접 참조 197회/6파일 + Asset Index,YES,NO,NO,YES,대용량 AI/Package,자산·권리·실파일
M-021,03_SEOUL_DAY,01_INPUT(입력_원본)/03_SEOUL_DAY(서울_낮),INPUT,INPUT,CONDITIONAL MOVE,CRITICAL,DAY 원본,직접 참조 173회/6파일 + Asset Index,YES,NO,NO,YES,4.69GiB 디자인,자산·시안·미디어 링크
M-022,04_SEOUL_NIGHT,01_INPUT(입력_원본)/04_SEOUL_NIGHT(서울_밤),INPUT,INPUT,CONDITIONAL MOVE,CRITICAL,NIGHT 원본,직접 참조 171회/9파일 + Asset Index,YES,NO,NO,YES,파생본·좌표·QR,자산·시안·미디어 링크
M-023,05_PRODUCTS,01_INPUT(입력_원본)/05_PRODUCTS(제품),INPUT,INPUT,CONDITIONAL MOVE,CRITICAL,제품 원본,직접 참조 88회/13파일 + Asset Index,YES,NO,NO,YES,Product Fact 연결,SKU/사진/근거 대조
M-024,06_SOCIAL_PROOF,01_INPUT(입력_원본)/06_SOCIAL_PROOF(실제착용_소셜증거),INPUT,INPUT,CONDITIONAL MOVE,CRITICAL,실제착용/유료 납품,"직접 참조 1,315회/9파일",YES,NO,NO,YES,961 Index·Todaylook manifest,권리·SKU·경로 100%
M-025,07_GLOBAL,01_INPUT(입력_원본)/07_GLOBAL(글로벌_자료),INPUT,INPUT,CONDITIONAL MOVE,HIGH,Global/HOLD 자료,직접 참조 24회/4파일,YES,NO,NO,YES,5.04GB HOLD 영상,HOLD 유지·SHA
M-026,08_POPUP_EVENT,01_INPUT(입력_원본)/08_POPUP_EVENT(팝업_이벤트),INPUT,INPUT,SAFE MOVE,LOW,현재 빈 Placeholder,참조 1회 확인,YES,NO,NO,YES,빈 폴더 의도 확인,빈 상태 보존
M-027,09_VIDEO,01_INPUT(입력_원본)/09_VIDEO(영상),INPUT,INPUT,CONDITIONAL MOVE,CRITICAL,영상 원본,직접 참조 26회/4파일 + HTML/Story,YES,NO,NO,YES,권리 HOLD·대형 MP4,미디어 재생·권리상태
M-028,10_WADIZ/legacy_source,01_INPUT(입력_원본)/10_LEGACY_WADIZ(기존_와디즈_자료),INPUT,INPUT,CONDITIONAL MOVE,HIGH,과거 WADIZ 원본/레퍼런스,직접 참조 + 2.45GB AI,YES,NO,NO,YES,2024/QR/좌표 혼재,Historical 표시·SHA
M-029,"10_WADIZ/{storyboard,copy,rewards}","02_WORKING(작업중)/{01_STORY(스토리_작업),02_COPY(문구_작업),07_COMMERCIAL(판매조건_작업)}",WORKING,WORKING,CONDITIONAL MOVE,HIGH,미승인 작업물,Story/Offer/Report 포인터,YES,YES,NO,YES,최신안과 과거안 구분,승인 상태·중복 대조
M-030,10_WADIZ/prototype,02_WORKING(작업중)/06_PROTOTYPE(상세페이지_시안),WORKING,WORKING,CONDITIONAL MOVE,HIGH,기존/작업 시안,로컬 asset src,YES,YES,NO,YES,구 HTML 누락 참조,브라우저 QA
M-031,10_WADIZ/export,03_OUTPUT(최종_산출물)/01_WADIZ(와디즈),REVIEW REQUIRED,OUTPUT,DO NOT MOVE,HIGH,승인 근거 없는 Export는 Output 아님,승인 Gate 이후에만 승격,YES,NO,NO,YES,현재 Final Output 0,승인 ID·업로드 준비
M-032,"11_AI_NEW/{image,video,prompts}","02_WORKING(작업중)/{03_HERO(대표이미지_작업),04_MOTION(모션_영상_작업)}",WORKING,WORKING,CONDITIONAL MOVE,MEDIUM,AI Branch 결과는 승인 전 Working,직접 참조 10회/9파일,YES,YES,NO,YES,Hero Branch 분리 유지,Asset Intake 0/승인 전
M-033,00_PROJECT/90_REPORTS/REVIEW,90_REPORTS(검토_보고)/01_REVIEW(검토자료),REPORT,REPORT,SAFE MOVE,LOW,검토자료 전용,경로 포인터만 갱신,YES,YES,NO,YES,Historical page links 확인,파일수·SHA
M-034,00_PROJECT/90_REPORTS/HANDOFF/*.pdf (14),90_REPORTS(검토_보고)/01_REVIEW(검토자료)/99_HISTORICAL_REVIEW(과거_검토),REPORT,REPORT,SAFE MOVE,MEDIUM,HANDOFF ZIP-only 위반,파일명 언급 5회/4문서 + 실제 전체경로 1건,NO,YES,YES,YES,사용자 보존 승인,14/14 SHA·PDF open
M-035,00_PROJECT/90_REPORTS/HANDOFF/*.zip (23),99_ARCHIVE(보관_폐기)/04_HISTORICAL_HANDOFF(과거_전달),REPORT,ARCHIVE,CONDITIONAL MOVE,MEDIUM,과거 전달 ZIP,외부 전달 링크는 유지 불가,NO,NO,YES,YES,현재 Gate ZIP 1개 선정,CRC·Manifest·SHA
M-036,"00_PROJECT/90_REPORTS/{CAP_ASSET_INTAKE_MANIFEST.csv,TODAYLOOK_FULL_REVIEW_MANIFEST.csv}",00_CONTROL(프로젝트_통제)/05_ASSET_CONTROL(자산_관리)/,REPORT,CONTROL,CONDITIONAL MOVE,HIGH,13+298 자산경로를 가진 관리 레지스트리,Asset Index·Story·Todaylook 경로 동시 갱신,NO,YES,NO,YES,단순 Review 이동 금지,311 path rows·SHA
M-037,"00_PROJECT/90_REPORTS/{PATH_DEPENDENCY_REPORT,PROJECT_INFORMATION_ARCHITECTURE_AUDIT,RENAME_MIGRATION_MAP}",99_ARCHIVE(보관_폐기)/03_HISTORICAL_REVIEW(과거_검토),REPORT,ARCHIVE,CONDITIONAL MOVE,MEDIUM,795 Asset 기준 과거 감사,현재 문서의 역사 참조만 유지,NO,YES,YES,YES,새 감사 승인 후,3파일 SHA·상태 표기
M-038,00_PROJECT/90_REPORTS root remaining reports,90_REPORTS(검토_보고)/01_REVIEW(검토자료)/99_HISTORICAL_REVIEW(과거_검토),REPORT,REPORT,CONDITIONAL MOVE,MEDIUM,QA·Gate·Copy·Evidence 검토자료,파일명 참조 33회 정리,NO,YES,YES,YES,정본 포인터 예외,파일수·SHA·링크
M-039,99_ARCHIVE_UNUSED,99_ARCHIVE(보관_폐기)/02_REJECTED(제외_보관),ARCHIVE,ARCHIVE,CONDITIONAL MOVE,HIGH,현재 제외/보존 자료,Asset Index·Historical 참조,YES,YES,YES,YES,삭제 금지,77 파일 SHA·참조
M-040,exact duplicate 34 groups / 71 instances,원위치 유지 후 provenance 결정,MIXED,MIXED,DO NOT MOVE,MEDIUM,절감 3.61MiB로 효과 미미; 역할 다른 보존본,Evidence/Asset 관계 검토,NO,NO,NO,YES,SHA만으로 삭제 금지,canonical/source 역할 판정
M-041,.DS_Store 35 + .afpDeleted 1 + Excel lock 1,삭제 또는 제외 후보 — 승인 후,SYSTEM,ARCHIVE,DO NOT MOVE,MEDIUM,관리 대상이 아닌 시스템/잠금 파일,Workbook 종료·NAS 안정 확인,NO,NO,YES,YES,현재 이동 금지,재스캔 후 존재 확인
