"relative_path","top_level","extension","size_bytes","size_mb","last_modified_kst","repository_policy"
"00_CONTROL(프로젝트_통제)\02_STRATEGY(전략)\TERMINOLOGY_GLOSSARY.md","00_CONTROL(프로젝트_통제)",".md","9434","0.009","2026-08-14 00:26:27","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\02_STRATEGY(전략)\TREND_SCAN_1_20260810.md","00_CONTROL(프로젝트_통제)",".md","24137","0.023","2026-08-12 00:30:30","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\02_STRATEGY(전략)\WADIZ_REWARD_ARCHITECTURE_BENCHMARK.md","00_CONTROL(프로젝트_통제)",".md","17788","0.017","2026-08-12 10:08:19","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\03_STORY(스토리_정본)\STORY_MASTER.md","00_CONTROL(프로젝트_통제)",".md","88323","0.084","2026-08-21 20:49:42","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\BUSINESS_ASSUMPTIONS.md","00_CONTROL(프로젝트_통제)",".md","17214","0.016","2026-08-15 00:46:23","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\BUSINESS_INPUT_TIMING_MATRIX.md","00_CONTROL(프로젝트_통제)",".md","11856","0.011","2026-08-15 00:46:23","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\CANONICAL_PRODUCT_FACT_MATRIX.csv","00_CONTROL(프로젝트_통제)",".csv","10477","0.01","2026-08-11 21:56:15","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\COMMERCIAL_HYPOTHESIS_MODEL.xlsx","00_CONTROL(프로젝트_통제)",".xlsx","44621","0.043","2026-08-13 08:12:56","INDEX_ONLY_BINARY"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\COMMERCIAL_HYPOTHESIS_MODEL.xlsx.inspect.ndjson","00_CONTROL(프로젝트_통제)",".ndjson","1112644","1.061","2026-08-12 10:04:14","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\CURRENT_INVENTORY_USER_CHECK.md","00_CONTROL(프로젝트_통제)",".md","7496","0.007","2026-08-15 00:46:03","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\CURRENT_REPRODUCTION_QUOTE_REQUEST_MATRIX.csv","00_CONTROL(프로젝트_통제)",".csv","4964","0.005","2026-08-11 23:48:22","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\ECONOMICS_INPUT.csv","00_CONTROL(프로젝트_통제)",".csv","7591","0.007","2026-08-15 00:45:15","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\HISTORICAL_COST_SENSITIVITY.xlsx","00_CONTROL(프로젝트_통제)",".xlsx","5718","0.005","2026-08-11 23:48:23","INDEX_ONLY_BINARY"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\HISTORICAL_COST_SENSITIVITY.xlsx.inspect.ndjson","00_CONTROL(프로젝트_통제)",".ndjson","24179","0.023","2026-08-11 23:48:23","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\INVENTORY_PRODUCTION.csv","00_CONTROL(프로젝트_통제)",".csv","5253","0.005","2026-08-15 00:44:23","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\MARKET_DEMAND_INTELLIGENCE.md","00_CONTROL(프로젝트_통제)",".md","19300","0.018","2026-08-14 00:07:56","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\PRODUCT_EVIDENCE_REGISTER.md","00_CONTROL(프로젝트_통제)",".md","17743","0.017","2026-08-19 23:46:38","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\PRODUCT_SOURCE_TRACE.csv","00_CONTROL(프로젝트_통제)",".csv","12586","0.012","2026-08-19 23:46:38","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\PROJECT_ECONOMICS.xlsx","00_CONTROL(프로젝트_통제)",".xlsx","50764","0.048","2026-08-19 23:46:42","INDEX_ONLY_BINARY"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\PROJECT_ECONOMICS.xlsx.inspect.ndjson","00_CONTROL(프로젝트_통제)",".ndjson","1243525","1.186","2026-08-19 23:46:39","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\04_COMMERCIAL(판매구조_정본)\WADIZ_POLICY_NOTES.md","00_CONTROL(프로젝트_통제)",".md","10828","0.01","2026-08-14 00:12:27","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\05_ASSET_CONTROL(자산_관리)\08_MISSING_ASSETS.md","00_CONTROL(프로젝트_통제)",".md","10599","0.01","2026-08-19 23:46:39","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\05_ASSET_CONTROL(자산_관리)\ASSET_CURATED.md","00_CONTROL(프로젝트_통제)",".md","53722","0.051","2026-08-19 23:46:39","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\05_ASSET_CONTROL(자산_관리)\ASSET_INDEX.csv","00_CONTROL(프로젝트_통제)",".csv","1259736","1.201","2026-08-19 23:46:39","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\05_ASSET_CONTROL(자산_관리)\CAP_ASSET_INTAKE_MANIFEST.csv","00_CONTROL(프로젝트_통제)",".csv","5612","0.005","2026-08-19 23:46:39","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\05_ASSET_CONTROL(자산_관리)\QR_CONTINUITY_REGISTER.md","00_CONTROL(프로젝트_통제)",".md","4507","0.004","2026-08-10 08:18:18","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\05_ASSET_CONTROL(자산_관리)\TODAYLOOK_FULL_REVIEW_MANIFEST.csv","00_CONTROL(프로젝트_통제)",".csv","231527","0.221","2026-08-19 23:46:40","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\06_STATUS(진행상태_의사결정)\00_PROJECT_STATUS.md","00_CONTROL(프로젝트_통제)",".md","29665","0.028","2026-08-21 19:50:32","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\06_STATUS(진행상태_의사결정)\07_DECISIONS.md","00_CONTROL(프로젝트_통제)",".md","90030","0.086","2026-08-21 19:40:02","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\06_STATUS(진행상태_의사결정)\09_MASTER_CHECKLIST.csv","00_CONTROL(프로젝트_통제)",".csv","25370","0.024","2026-08-19 23:46:40","GITHUB_INCLUDED"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\EXPERIENCE\글귀.ai","01_INPUT(입력_원본)",".ai","438833","0.419","2026-08-10 08:27:49","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\EXPERIENCE\글귀(0.3_24).png","01_INPUT(입력_원본)",".png","19541","0.019","2026-08-10 08:27:49","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\EXPERIENCE\LOGO) XXX STUDIO_ANYTHING.ai","01_INPUT(입력_원본)",".ai","427839","0.408","2026-08-10 08:27:49","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\EXPERIENCE\LOGO) XXX STUDIO_ANYTIME.ai","01_INPUT(입력_원본)",".ai","430356","0.41","2026-08-10 08:27:49","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\EXPERIENCE\LOGO) XXX STUDIO_ANYWHERE.ai","01_INPUT(입력_원본)",".ai","428969","0.409","2026-08-10 08:27:48","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\EXPERIENCE\LOGO) XXX STUDIO_EXPERIENCE_메인.ai","01_INPUT(입력_원본)",".ai","436864","0.417","2026-08-10 08:27:48","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\EXPERIENCE\LOGO)-XXX-STUDIO_ANYTHING.png","01_INPUT(입력_원본)",".png","15645","0.015","2026-08-10 08:27:49","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\EXPERIENCE\LOGO)-XXX-STUDIO_ANYTIME.png","01_INPUT(입력_원본)",".png","17613","0.017","2026-08-10 08:27:49","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\EXPERIENCE\LOGO)-XXX-STUDIO_ANYWHERE.png","01_INPUT(입력_원본)",".png","19141","0.018","2026-08-10 08:27:48","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\EXPERIENCE\LOGO)-XXX-STUDIO_EXPERIENCE_메인.png","01_INPUT(입력_원본)",".png","17645","0.017","2026-08-10 08:27:48","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\FLAWLESS\XXX 수식(WEB).ai","01_INPUT(입력_원본)",".ai","237756","0.227","2026-08-10 08:27:50","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\FLAWLESS\XXX 의미(WEB).ai","01_INPUT(입력_원본)",".ai","238751","0.228","2026-08-10 08:27:49","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\FLAWLESS\XXX 철학(WEB).ai","01_INPUT(입력_원본)",".ai","238508","0.227","2026-08-10 08:27:50","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\FLAWLESS\XXX-수식(WEB).png","01_INPUT(입력_원본)",".png","8961","0.009","2026-08-10 08:27:50","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\FLAWLESS\XXX-의미(WEB).png","01_INPUT(입력_원본)",".png","9609","0.009","2026-08-10 08:27:50","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\01_BRAND(브랜드)\brand_identity\legacy_core_sources\FLAWLESS\XXX-철학(WEB).png","01_INPUT(입력_원본)",".png","9004","0.009","2026-08-10 08:27:50","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_DAY & NIGHT.ai","01_INPUT(입력_원본)",".ai","303425","0.289","2024-04-05 16:55:10","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_DAY.ai","01_INPUT(입력_원본)",".ai","280654","0.268","2024-04-05 14:07:09","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_DAY(건곤감리).ai","01_INPUT(입력_원본)",".ai","288882","0.275","2024-04-05 16:55:03","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_DAY(심플_수정).ai","01_INPUT(입력_원본)",".ai","293013","0.279","2024-04-05 16:54:57","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_DAY(심플_지역번호_세로_화이트).ai","01_INPUT(입력_원본)",".ai","156033730","148.805","2024-04-09 18:02:31","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_DAY(심플_지역번호_세로).ai","01_INPUT(입력_원본)",".ai","156013095","148.786","2024-04-09 00:53:16","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_DAY(심플_지역번호).ai","01_INPUT(입력_원본)",".ai","332301","0.317","2024-04-05 15:18:52","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_DAY(심플).ai","01_INPUT(입력_원본)",".ai","293029","0.279","2024-04-05 14:59:15","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_DAY&NIGHT(심플_수정).ai","01_INPUT(입력_원본)",".ai","321443","0.307","2024-04-05 15:08:10","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_DAY&NIGHT(심플_지역번호).ai","01_INPUT(입력_원본)",".ai","323578","0.309","2024-04-05 16:54:50","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_DAY&NIGHT(심플).ai","01_INPUT(입력_원본)",".ai","296035","0.282","2024-04-05 15:01:28","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_DAY&NIGT (심플_지역번호_세로).ai","01_INPUT(입력_원본)",".ai","156039241","148.811","2024-04-09 18:19:52","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_NIGHT.ai","01_INPUT(입력_원본)",".ai","286728","0.273","2024-04-05 14:08:35","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_NIGHT(건곤감리).ai","01_INPUT(입력_원본)",".ai","295106","0.281","2024-04-05 14:21:58","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_NIGHT(심플_지역번호_세로_블랙).ai","01_INPUT(입력_원본)",".ai","156030401","148.802","2024-04-09 18:22:39","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_NIGHT(심플_지역번호_세로_화이트).ai","01_INPUT(입력_원본)",".ai","156018160","148.791","2024-04-09 18:01:28","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_NIGHT(심플_지역번호_세로).ai","01_INPUT(입력_원본)",".ai","156001805","148.775","2024-04-09 00:54:20","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_NIGHT(심플_지역번호).ai","01_INPUT(입력_원본)",".ai","322628","0.308","2024-04-05 16:54:59","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글) KOREA TOUR_NIGHT(심플).ai","01_INPUT(입력_원본)",".ai","292842","0.279","2024-04-05 16:54:54","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_DAY-&-NIGHT.png","01_INPUT(입력_원본)",".png","29044","0.028","2024-04-05 14:19:53","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_DAY(건곤감리).png","01_INPUT(입력_원본)",".png","23238","0.022","2024-04-05 14:22:19","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_DAY(심플_수정).png","01_INPUT(입력_원본)",".png","22981","0.022","2024-04-05 15:07:08","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_DAY(심플_지역번호_세로_화이트).png","01_INPUT(입력_원본)",".png","7551","0.007","2024-04-09 18:02:39","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_DAY(심플_지역번호_세로).png","01_INPUT(입력_원본)",".png","8773","0.008","2024-04-09 00:56:03","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_DAY(심플_지역번호).png","01_INPUT(입력_원본)",".png","24063","0.023","2024-04-05 15:19:09","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_DAY(심플).png","01_INPUT(입력_원본)",".png","22973","0.022","2024-04-05 15:04:15","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_DAY&NIGHT(심플_지역번호).png","01_INPUT(입력_원본)",".png","30059","0.029","2024-04-05 15:16:35","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_DAY&NIGHT(심플).png","01_INPUT(입력_원본)",".png","28676","0.027","2024-04-05 15:01:41","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_DAY&NIGT-(심플_지역번호_세로).png","01_INPUT(입력_원본)",".png","26347","0.025","2024-04-09 18:20:03","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_NIGHT.png","01_INPUT(입력_원본)",".png","19565","0.019","2024-04-05 14:08:58","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_NIGHT(건곤감리).png","01_INPUT(입력_원본)",".png","21479","0.02","2024-04-05 14:22:08","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_NIGHT(심플_지역번호_세로_블랙).png","01_INPUT(입력_원본)",".png","7538","0.007","2024-04-09 18:00:59","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_NIGHT(심플_지역번호_세로_화이트).png","01_INPUT(입력_원본)",".png","7538","0.007","2024-04-09 18:02:04","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_NIGHT(심플_지역번호_세로).png","01_INPUT(입력_원본)",".png","8991","0.009","2024-04-09 18:21:01","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_NIGHT(심플_지역번호).png","01_INPUT(입력_원본)",".png","21822","0.021","2024-04-05 15:20:10","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\한글)-KOREA-TOUR_NIGHT(심플).png","01_INPUT(입력_원본)",".png","20994","0.02","2024-04-05 15:04:49","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\PROJECT) KOREA TOUR_DAY(기본).ai","01_INPUT(입력_원본)",".ai","272859","0.26","2024-04-02 19:13:23","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\PROJECT) KOREA TOUR_DAY&NIGHT(기본_세로).ai","01_INPUT(입력_원본)",".ai","156045254","148.816","2024-04-09 18:18:27","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\PROJECT) KOREA TOUR_DAY&NIGHT(기본).ai","01_INPUT(입력_원본)",".ai","271782","0.259","2024-04-02 19:29:22","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\PROJECT) KOREA TOUR_NIGHT(기본).ai","01_INPUT(입력_원본)",".ai","266299","0.254","2024-04-03 00:26:23","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\PROJECT)-KOREA-TOUR_DAY(기본).png","01_INPUT(입력_원본)",".png","22686","0.022","2024-04-02 19:13:35","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\PROJECT)-KOREA-TOUR_DAY&NIGHT(기본_세로).png","01_INPUT(입력_원본)",".png","21808","0.021","2024-04-09 18:18:45","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\PROJECT)-KOREA-TOUR_DAY&NIGHT(기본).png","01_INPUT(입력_원본)",".png","22536","0.021","2024-04-02 19:29:32","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\logo_1080\PROJECT)-KOREA-TOUR_NIGHT(기본).png","01_INPUT(입력_원본)",".png","20086","0.019","2024-04-02 11:05:04","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\motion_graphics\초대장) KOREA TOUR.ai","01_INPUT(입력_원본)",".ai","286365","0.273","2024-03-27 20:32:41","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\motion_graphics\초대장) KOREA TOUR.psd","01_INPUT(입력_원본)",".psd","663015","0.632","2024-03-27 20:32:48","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\motion_graphics\테두리) KOREATOUR & XXX STUDIO.ai","01_INPUT(입력_원본)",".ai","264623","0.252","2024-03-26 16:13:32","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\motion_graphics\테두리) KOREATOUR & XXX STUDIO.psd","01_INPUT(입력_원본)",".psd","199158","0.19","2024-03-26 16:13:41","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\motion_graphics\테두리) KOREATOUR & XXX STUDIO(블랙).ai","01_INPUT(입력_원본)",".ai","267189","0.255","2024-03-27 13:17:13","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\motion_graphics\테두리) KOREATOUR & XXX STUDIO(세로).ai","01_INPUT(입력_원본)",".ai","266486","0.254","2024-03-28 12:26:29","INDEX_ONLY_RAW_SOURCE"
"01_INPUT(입력_원본)\02_KOREA_TOUR(코리아투어_프로젝트)\collection_identity\motion_graphics\테두리) KOREATOUR & XXX STUDIO(EXPERIENCE).ai","01_INPUT(입력_원본)",".ai","275683","0.263","2024-03-27 22:49:21","INDEX_ONLY_RAW_SOURCE"
