Trace_ID,Product,Fact,Source_Path,Source_File,Source_Date,Kakao_Timestamp,Evidence_Rank,Fact_Status,Conflict,Resolution
PF-011,"T-SHIRT DAY/NIGHT","16수 싱글 텐타덤블; 면 100%","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/05) 24SS 반팔/1) 서울 반팔/2) 작업지시서/; /Volumes/DESKTOP/XXX STUDIO/1) 디자인/04) SEOUL/5) 라벨/제작 요청/최종/","DAY/NIGHT 작업지시서; COTTON 100% 케어라벨 AI","2024-06-05~07","2024-06-05 12:28~13:27","A","EVIDENCE CONFIRMED","지시서 덴타덤블 표기","원문 병기 후 텐타덤블로 정규화"
PF-012,"T-SHIRT DAY/NIGHT","X1/X2 제작치수","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/05) 24SS 반팔/1) 서울 반팔/2) 작업지시서/; /Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/production/","DAY/NIGHT 작업지시서; 권도재 Kakao ZIP","2024-06-13~14","2024-06-13 22:08~22:10","A","PRODUCTION MEASUREMENT CONFIRMED","공홈 DAY 치수 차이; NIGHT 맨투맨 표 복사","실재고 완제품 실측 전까지 지시서 치수와 완성치 분리"
PF-013,"T-SHIRT DAY/NIGHT","앞 중앙 브랜드+서울 DTF","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/05) 24SS 반팔/1) 서울 반팔/2) 작업지시서/; /Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/production/","인쇄(전사_DTF); 권도재 Kakao ZIP","2024-06-05~14","2024-06-05 08:48~12:28","A","EVIDENCE CONFIRMED","공홈 전면 3D 실리콘","생산 타임라인의 ‘실리콘+DTF → DTF’ 최종 변경 우선"
PF-014,"T-SHIRT DAY/NIGHT","착장 우측 하단 실리콘 15×60mm","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/05) 24SS 반팔/1) 서울 반팔/2) 작업지시서/; /Volumes/DESKTOP/XXX STUDIO/5) 자사몰/2) 상품등록/2) 서울 반팔/1) 누끼/","인쇄(전사_실리콘); DAY/NIGHT 누끼","2024-06-14~2024-10-03","해당 없음","B","EVIDENCE CONFIRMED","전면 DTF 변경에 함께 제거됐는지 불명확할 수 있음","별도 위치·실물 존재로 유지"
PF-015,"T-SHIRT DAY/NIGHT","왼쪽 소매 리플렉티브 80×35.786mm","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/05) 24SS 반팔/1) 서울 반팔/2) 작업지시서/; /Volumes/DESKTOP/XXX STUDIO/5) 자사몰/2) 상품등록/2) 서울 반팔/1) 누끼/","인쇄(전사_반사); DAY/NIGHT 누끼","2024-06-14~2024-10-03","해당 없음","A","EVIDENCE CONFIRMED","방법 셀 색상 복사 오류","디자인 색상·실물 우선"
PF-016,"T-SHIRT DAY/NIGHT","등판 DTF 250×308.657mm","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/05) 24SS 반팔/1) 서울 반팔/2) 작업지시서/; /Volumes/DESKTOP/XXX STUDIO/5) 자사몰/2) 상품등록/2) 서울 반팔/1) 누끼/","인쇄(전사_DTF); DAY/NIGHT 누끼","2024-06-14~2024-10-03","해당 없음","A","EVIDENCE CONFIRMED","위치 문구 방향 오류","실물 중앙 등판 우선; 숫자 방향 재해석 금지"
PF-017,"T-SHIRT DAY/NIGHT","헤링본 포함; 트임 제거","/Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/production/; /Volumes/DESKTOP/XXX STUDIO/1) 디자인/05) 24SS 반팔/1) 서울 반팔/2) 작업지시서/","권도재 Kakao ZIP; IMG_7473.PNG","2024-06-05","2024-06-05 08:48~12:28","A","EVIDENCE CONFIRMED","없음","대화·원가표 일치"
PF-018,"T-SHIRT DAY/NIGHT","과거 본생산 단가 21,700원/장","/Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/production/","IMG_7472.JPG; IMG_7473.PNG","2024-06-07","2024-06-05 08:48","A","HISTORICAL COST CONFIRMED","2026 현행 원가와 혼동 위험","HISTORICAL PRODUCTION COST로만 관리"
PF-019,"CAP DAY","G14 16수 선워싱 흰색 M 12개","/Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/; /Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/production/","모자_스펙.rtf; 박선규 Kakao ZIP","2024-10-07~08","2024-10-07 19:12; 2024-10-08 11:14~11:17","A","EVIDENCE CONFIRMED","작업지시서 14수 피그Bio M","더 늦은 블랭크 최종 선택과 실물 우선"
PF-020,"CAP NIGHT","G14 16수 선워싱 검정 L 12개","/Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/; /Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/production/","모자_스펙.rtf; 박선규 Kakao ZIP","2024-10-07~08","2024-10-07 19:12; 2024-10-08 11:14~11:17","A","EVIDENCE CONFIRMED","작업지시서 14수 피그Bio M","더 늦은 블랭크 최종 선택과 실물 우선"
PF-021,"CAP DAY","전면 남산서울타워형 한글 서울; 측면 +82/DAY/02/선형 막대/SEOUL; 후면 XXX STUDIO","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/06) 모자/1) DAY/; /Volumes/DESKTOP/XXX STUDIO/5) 자사몰/2) 상품등록/3) 모자/1) 제품사진/3) 업로드 사이즈/","CAP(DAY).xlsx; 2024-10-26 DAY 4방향 PNG","2024-09-18~2024-10-26","2024-09-18 20:06; 2024-10-07 19:12","A","EVIDENCE CONFIRMED","측면 셀 자수 or DTG","실물 실과 업체 ‘자수가 많아서’ 단가 설명으로 자수 확정"
PF-022,"CAP NIGHT","전면 롯데월드타워형 한글 서울; 측면 +82/NIGHT/02/선형 막대/SEOUL; 후면 XXX STUDIO","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/06) 모자/1) DAY/; /Volumes/DESKTOP/XXX STUDIO/5) 자사몰/2) 상품등록/3) 모자/1) 제품사진/3) 업로드 사이즈/","CAP(NIGHT)_수정본.xlsx; 2024-10-26 NIGHT 4방향 PNG","2024-09-23~2024-10-26","2024-09-23 20:45~20:47; 2024-10-02 13:04~17:32","A","EVIDENCE CONFIRMED","전면 DAY 복사 셀; 초기 측면 크기","수정본·앞/옆 재펀칭·실물 우선"
PF-023,"CAP DAY/NIGHT","전·측·후 일반 자수","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/06) 모자/1) DAY/; /Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/production/; /Volumes/DESKTOP/XXX STUDIO/5) 자사몰/2) 상품등록/3) 모자/1) 제품사진/3) 업로드 사이즈/","자수 펀칭 시트; 박선규 Kakao ZIP; 4방향 PNG","2024-09-18~2024-10-26","2024-09-24 12:58~19:57; 2024-10-02 13:04~17:32","A","EVIDENCE CONFIRMED","평자수·입체자수·새틴 등 세부 유형 없음","‘일반 자수’ 이상으로 세분화 금지; 3D 자수 주장 금지"
PF-024,"CAP NIGHT","L 둘레 60cm; 나머지 세부치수 TBD","/Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/","모자_스펙.rtf","2026-08-11 확인","해당 없음","B","PARTIALLY CONFIRMED","상세본문이 M의 58cm를 복사","L 분류 60cm만 채택; 나머지는 실물 실측 필요"
PF-025,"CAP DAY/NIGHT","약 22,000원/개 구두 단가; 라벨 포함","/Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/production/","박선규 Kakao ZIP","2024-10-07","2024-10-07 13:07~13:08","C","HISTORICAL VERBAL QUOTE ONLY","최종 견적 PDF·실지급액 누락","확정 원가로 사용하지 않고 SOURCE REQUIRED 유지"
