ID,Phase,Track,Task,Owner,Status,Priority,Dependency,Output,Next_Action,Updated_Date,Notes
A-011,01A,Creative,A/B 후보와 제외 근거 통합 검토,WORK,COMPLETE,HIGH,A-010,04_ASSETS/ASSET_CURATED.md; 04_ASSETS/QR_CONTINUITY_REGISTER.md; ASSET_INDEX clearance_basis,A-012 승인 결과에 반영 완료,2026-08-10,638개를 T1~T6으로 통합 분류; 실제 제품 QR 연속성 조사; 유료 마케팅 납품물 권리 재감사
A-011B,01A,Creative,보완 Brand Core·오늘룩 유료 마케팅 자산 수입·검토,WORK,COMPLETE,HIGH,A-011,04_ASSETS/ASSET_INDEX.csv; 04_ASSETS/ASSET_CURATED.md; 02_BRAND_SYSTEM.md; 04_ASSETS/QR_CONTINUITY_REGISTER.md,A-012 승인 결과 유지; Current SKU Match 전 공개 확정 금지,2026-08-15,기존 오늘룩 고유 128개·Brand Core 16개·CAP 13개에 더해 Todaylook 42 ZIP/media 298 전수 재감사; existing exact 128·내부 exact duplicate entry 4·near 0·신규 unique 166 `AST-0796~0961`; 전체 961/961 REVIEWED; 신규 166 CLEARED/USER CONFIRMED PAID MARKETING·SKU Match pending
A-012,01A,Creative,Asset Intelligence 결과 승인,USER,APPROVED,HIGH,A-011B,승인된 ASSET_INDEX; ASSET_CURATED,승인 상태 유지; PHASE 02 전략 입력으로 사용,2026-08-15,사용자 명시 승인 기준선 유지; Todaylook 전수 보완 수입 반영 뒤 961/961 REVIEWED; PHASE 01A COMPLETE 유지; 신규 공개용 사용은 Current SKU Match 후 별도 확정
B-001,01B,Business,기존 생산 견적서·원가 원본 확보,USER,IN PROGRESS,HIGH,F-003,03_BUSINESS/00_SOURCE_INPUT; PRODUCT_EVIDENCE_REGISTER.md; CANONICAL_PRODUCT_FACT_MATRIX.csv; PRODUCT_SOURCE_TRACE.csv,CAP(모자) 최종 실지급 견적·정산 원본이 있으면 추가 확보,2026-08-14,SWEATSHIRT(맨투맨)·T-SHIRT(반팔 티셔츠) 과거 견적·원가·작업지시서 확보; CAP은 구두 단가만 있고 최종 지급 PDF 누락. 2026 현행 견적은 B-003으로 분리
B-002,01B,Business,SKU·컬러·사이즈별 재고 원본 확보,USER,IN PROGRESS,HIGH,F-003,03_BUSINESS/CURRENT_INVENTORY_USER_CHECK.md; INVENTORY_PRODUCTION.csv,Apparel 124개 판매가능 상태·현행 SKU 동일성·대표품 실측 확인; CAP은 생산조건 확인,2026-08-15,D2C 시스템 Snapshot 167은 참고용; 사용자 확인 실물 T-SHIRT 16 / SWEATSHIRT 108 / Apparel 124 / CAP 0; PHYSICAL COUNT CONFIRMED / SELLABILITY CHECK PENDING; X1/X2 매핑 미확정
B-003,01B,Business,MOQ(최소 주문수량)·추가생산·납기 자료 확보,USER,IN PROGRESS,HIGH,F-003,03_BUSINESS/CURRENT_REPRODUCTION_QUOTE_REQUEST_MATRIX.csv,C-005 승인 뒤 후보 사양·수량구간·오픈·배송 창을 기준으로 현행 견적·MOQ·납기 확인,2026-08-14,견적 요청표 준비 완료; 지금 업체 연락 금지. 추가생산형 선택 시 03B 전 확인
B-004,01B,Business,기존·신규 Package(패키지) 견적 확보,USER,IN PROGRESS,HIGH,F-003,03_BUSINESS/00_SOURCE_INPUT/packaging; 90_REPORTS/PHASE_01B_CLOSURE_GATE_REPORT.md,"C-005 뒤 채택 Set(세트)이 좁혀질 때 P1 유지·대체, P2 규격·MOQ·구간단가·납기, P3 실제 제공물, P4 체적·포장공임을 확인",2026-08-14,2024 과거 패키징 근거 보존; P0~P4·포장 650원 포함관계를 분리; P2 채택형일 때 03B 차단 입력
B-005,01B,Business,와디즈 공식 정책·수수료 근거 수집,WORK,COMPLETE,HIGH,F-003,03_BUSINESS/WADIZ_POLICY_NOTES.md,프로젝트 유형·병행판매·첫 메이커 할인은 제출 직전 계정/계약 화면 확인,2026-08-14,공식 정책 재확인; 12%+3%+99000원 VAT(부가가치세) 별도 유지; 특별구성·옵션 3~5개 권장·화면 리워드 6~8개 참고를 분리; DAY/NIGHT 동일제품 Pair(쌍)는 가격혜택 등 보강 후 제출 전 확인
B-012,01B,Business,비용 근거 복원 및 재무모델 QA·근거자료 정규화,WORK,COMPLETE,HIGH,F-003,03_BUSINESS/PROJECT_ECONOMICS.xlsx; 01_정리된_근거자료; 16_SCALE_FRAMEWORK,추가 마케팅 지급증빙·PHASE 03 입력 확보 후 재검증,2026-08-10,E-003 605000원 합계제외; 확정비용 8420810원·회수풀 2795410원 유지; 추가 마케팅 200만~300만원은 사용자 추정으로 미합산; 5억·10억 운영 프레임 추가
B-006,01B,Business,ECONOMICS_INPUT 정규화,WORK,IN PROGRESS,HIGH,B-001; B-002; B-003; B-004,03_BUSINESS/ECONOMICS_INPUT.csv,판매가능수량과 선택 판매방식의 현행 견적·P0~P4·물류가 들어오면 남은 TBD 교정,2026-08-15,ECONOMICS_INPUT 10 SKU 실물 수량 반영; P0~P4 Current Cost TBD; 과거 포장 650원 자동 중복합산 금지
B-007,01B,Business,INVENTORY_PRODUCTION 정규화,WORK,IN PROGRESS,HIGH,B-002; B-003,03_BUSINESS/INVENTORY_PRODUCTION.csv,Apparel 124개 판매가능 상태와 CAP·Apparel 생산방식의 MOQ·단가·납기를 대조,2026-08-15,CAP 물리재고 0·ONE SIZE 작업 기준·선주문 생산 반영; Apparel 실물 수량 124 입력; 현행 생산조건 TBD
B-008,01B,Business,Business Assumptions 사실·가설 재검증,WORK,IN PROGRESS,HIGH,B-005; B-006; B-007,03_BUSINESS/BUSINESS_ASSUMPTIONS.md; 90_REPORTS/PHASE_01B_CLOSURE_GATE_REPORT.md,실물 수량 기준선을 유지하고 판매가능 상태·현행 원가·물류가 들어오면 Commercial Lock Input 교정,2026-08-15,"제품사실·실물 Apparel 124/CAP 0·과거원가·공홈가격·공개정책 확인; 완성원가는 P0~P4, Historical/Replacement/2026 Cash 분리"
B-009,01B,Business,Commercial Lock Input 사용자 승인,USER,NOT STARTED,HIGH,B-008; C-005,승인된 재고·생산·Package·물류·WADIZ 계정 입력,선택한 판매방식에 필요한 실제 입력과 근거 승인,2026-08-11,PHASE 03B Gate; PHASE 03A Gate가 아님. Stock-only와 추가생산형 필요입력을 구분
B-010,01B,Business,PHASE 02용 핵심 Business Guardrail 정리,WORK,COMPLETE,HIGH,F-003,BUSINESS_ASSUMPTIONS.md 핵심 Guardrail,B-011 승인 결과 유지; 미확정 실데이터 보강,2026-08-12,과거 ALL PRE-ORDER 가설은 V4에서 SUPERSEDED; Apparel 재고 우선·조건부 재생산 / CAP 선주문 생산; 현금원가와 경제적원가 분리; 단계적 광고
B-011,01B,Business,핵심 Business Guardrail 승인,USER,APPROVED,HIGH,B-010,승인된 Business Guardrail,PHASE 02 전략 가드레일로 유지; 미확정 실데이터 보강,2026-08-10,사용자 명시 승인; 가격·Reward·MOQ·목표금액·현행 원가 승인이 아니며 PHASE 01B는 REVIEW
MC-001,01C,Market,과거 주문·매출·판매·리뷰 원본자료 확보,USER,COMPLETE,HIGH,F-003,03_BUSINESS 내부 판매 원본자료,원본은 읽기 전용으로 유지,2026-08-09,주문·리뷰·별도 결제 원본 3개 확보
MC-002,01C,Market,DAY/NIGHT·제품·사이즈별 판매 분석,WORK,COMPLETE,HIGH,MC-001,MARKET_DEMAND_INTELLIGENCE.md,MC-007 승인 결과 유지; 후속 Test Data 보강,2026-08-10,78주문 99개; DAY47 NIGHT51; 상품별 실결제·Sell-through는 계산 불가
MC-003,01C,Market,리뷰·구매반응·취소·교환 패턴 분석,WORK,COMPLETE,MEDIUM,MC-001,MARKET_DEMAND_INTELLIGENCE.md,향후 전체 취소·환불 원본 보강,2026-08-09,리뷰24건; 지인 편향과 운영 중단 시점 컴플레인 맥락 분리
MC-004,01C,Market,공식 홈페이지·Instagram·YouTube 반응과 Content Gap Audit,WORK,COMPLETE,HIGH,F-004,MARKET_DEMAND_INTELLIGENCE.md,공개지표 또는 허용된 Insights 제공 시 보강,2026-08-09,홈페이지·글로벌몰 확인; Instagram·YouTube 반응 수치 미검증으로 추측하지 않음
MC-005,01C,Market,2025~2026 Wadiz 유사 Fashion·Pre-order Benchmark,WORK,COMPLETE,HIGH,F-004,Wadiz Benchmark 비교,MC-007 승인 결과 유지; 실행 직전 재확인,2026-08-10,공개 사례 6개; 성공·저성과·가격·Story·Product Proof 조건 비교
MC-006,01C,Market,초기 Target Audience·Acquisition Hypothesis 정리,CHATGPT,COMPLETE,HIGH,MC-002; MC-003; MC-004; MC-005,Target / Acquisition Hypothesis,Pre-launch 실제 반응으로 검증,2026-08-09,FACT와 가설 분리; DAY/NIGHT 우열 미확정
MC-007,01C,Market,Market/Demand 기본 분석 승인,USER,APPROVED,HIGH,MC-002; MC-003; MC-004; MC-005; MC-006,승인된 MARKET_DEMAND_INTELLIGENCE.md,승인 상태 유지; 후속 공개 반응·Pre-launch Data 보강,2026-08-10,사용자 명시 승인; PHASE 01C COMPLETE
S-001,02,Strategy,Campaign Positioning 및 핵심 메시지 작성,WORK,COMPLETE,HIGH,A-012; B-011; MC-007,CAMPAIGN_STRATEGY.md,S-003 승인 상태 유지; 최종 문구는 PHASE 04에서 검토,2026-08-12,S-002 COMPLETE; S-003 APPROVED; Architecture V2·서울 시그니처 마크·제품 우선 구조
S-002,02,Strategy,Campaign Strategy Creative 검토,CHATGPT,COMPLETE,HIGH,S-001,검토된 CAMPAIGN_STRATEGY.md,S-002 완료 상태 유지; S-003 승인 범위와 최종 문구 경계 유지,2026-08-12,Fashion-first·Product-first·Campaign Architecture V2·서울 시그니처 마크·4개 Channel 구조 통과
S-003,02,Strategy,Campaign Strategy(캠페인 전략) 승인,USER,APPROVED,HIGH,S-002,승인된 Campaign Strategy(캠페인 전략),승인 상태 유지; 최종 Campaign Name(캠페인명)·Headline(헤드라인)·Copy(문구)는 PHASE 04에서 검토,2026-08-14,TWO SCENES. ONE SEOUL.은 승인된 전략용 작업 표현; PHASE 02 COMPLETE
C-001,03A,Commercial,Commercial Hypothesis 후보구성·Supporter Benefit·가격대·과거원가 민감도·생산 Trigger 검증,WORK,COMPLETE,HIGH,S-003; B-011; B-012; B-014,OFFER_ARCHITECTURE.md; COMMERCIAL_HYPOTHESIS_MODEL.xlsx; C005_USER_DECISION_BRIEF.md; WADIZ_REWARD_ARCHITECTURE_BENCHMARK.md,C-005 승인 기준선 유지; PHASE 03B 입력 전 최종 상업값 확정 금지,2026-08-13,V4 2×3·핵심5+조건부2 유지; Packaging Amendment로 Set Box 구조적 역할·P0~P4·이중계상 방지 반영; C-005 APPROVED·PHASE 03A COMPLETE; 최종 상업값 미확정
C-002,03B,Commercial,PRICING_MODEL.xlsx 구축,WORK,NOT STARTED,HIGH,C-005; B-009,PRICING_MODEL.xlsx,03A와 Commercial Lock Input 승인 후 실제 계산모델 구축,2026-08-11,현재 생성 금지; 현행원가·재고·물류 근거로만 계산
C-003,03B,Commercial,공헌이익·CAC·매출 시나리오 검증,WORK,NOT STARTED,HIGH,C-002,검증된 Pricing Model,3천·5천·1억·2억·3억 검증,2026-08-11,2~3억은 Breakout
C-004,03B,Commercial,PHASE 03B Commercial Lock 승인,USER,NOT STARTED,HIGH,C-003; IC-005; IC-006,승인된 Offer·Price·Reward·Production·Delivery 구조,수익성·브랜드 경험·이행 가능성 동시 승인,2026-08-11,최종 가격·Reward·목표금액·수량·배송·마진 Gate
C-005,03A,Commercial,PHASE 03A Commercial Hypothesis(판매구조 가설) 사용자 승인,USER,APPROVED,HIGH,C-001,승인된 V4 판매계열·역할·Supporter Benefit(서포터 혜택)·제품별 이행방식,승인범위 유지; 최종 가격·Reward(리워드)·Package(패키지) 디자인·수량·배송은 03B에서 별도 승인,2026-08-14,2×3·핵심5+조건부2·Scene Set Hero(장면 세트 대표 구성)·CAP 선주문·Set Box(세트 박스) 구조적 역할·가치추가 우선·P1 유지/대체/혼합 비교 승인; PHASE 03A COMPLETE
ST-001,04,Story,MASTER STORY DRAFT 본문 작성,WORK,COMPLETE,HIGH,C-005,06_STORY/STORY_MASTER.md,12 Core·Native Copy V1 유지; AI Hero Branch 수신 후 단일 Hero Slot 연결; ST-004에서 C-004 승인 상업정보 병합,2026-08-18,Invitation Bridge·좌표→장면·Motion Slot·Product/People 역할 분리 반영; Final Hero·Final Copy·AI·Motion·03B 없음
ST-002,04,Story,브랜드·스토리·판매구조 Creative Director Review(크리에이티브 디렉터 검토),CHATGPT,COMPLETE,HIGH,ST-001,USER + CHATGPT STORY + AI HERO INTEGRATION REVIEW,AI Hero 후보와 Mobile·Desktop Native Copy V1의 첫인상·리듬·판매력 검토,2026-08-18,기존 COMPLETE 유지; 다음 Integration Review는 V-002·ST-005 자동 승인이 아님
ST-003,04,Story,외부 패션 에디터 관점 Creative Critique,CLAUDE,NOT STARTED,MEDIUM,ST-002,External Creative Critique,필요한 경우에만 Second Opinion 요청,2026-08-09,선택적 검토; 최종 의사결정권 없음
ST-004,04,Story,Creative 피드백·03B 상업정보 Final Synthesis,CHATGPT,NOT STARTED,HIGH,ST-002; C-004,Final Commerce Story Recommendation,필요 시 ST-003 Critique와 승인된 03B 상업정보를 병합,2026-08-11,FINAL COMMERCE STORY LOCK 직전 단계
ST-005,04,Story,MASTER STORYBOARD 최종 승인,USER,NOT STARTED,HIGH,ST-004,승인된 STORY_MASTER.md,최종 Story·Copy 승인 또는 수정,2026-08-09,PHASE 04 완료 게이트
V-001,05,Visual,Visual Direction Draft(비주얼 방향 초안) 수립,WORK,COMPLETE,HIGH,ST-002,05_STRATEGY/06_VISUAL_DIRECTION__비주얼_방향.md,USER + CHATGPT STORY + AI HERO INTEGRATION REVIEW; V-002 자동 승인 금지,2026-08-18,AI Hero Branch pending; Invitation Bridge·좌표→장면·Native Copy V1은 Working Prototype 검토 입력; Final Visual Approval 아님
V-002,05,Visual,Final Visual Direction 승인,USER,NOT STARTED,HIGH,V-001; ST-005,승인된 Visual Direction,V-001과 ST-005 완료 뒤 최종 시각방향 검토,2026-08-13,ST-005 전 자동 READY·승인 금지; Content Production과 별도
CL-001,05,Clearance,상업사용 대상 Rights / Claims 목록 확정,WORK,NOT STARTED,HIGH,V-002,Content Clearance Inventory,실제 사용 후보만 Clearance 대상으로 정리,2026-08-09,A등급과 상업사용 승인은 별개
CL-002,05,Clearance,Celebrity·Creator·UGC·IShowSpeed·음악·촬영물·제품 Claims 증빙 확인,WORK,NOT STARTED,HIGH,CL-001,Content Clearance Evidence,증빙·허락·사실 근거 수집,2026-08-09,미확인 자료는 HOLD 또는 대체
CL-003,05,Clearance,상업사용 Content Clearance 승인,USER,NOT STARTED,HIGH,CL-002,승인된 상업사용 자산·Claims 목록,사용·HOLD·대체 최종 판단,2026-08-09,PHASE 06 진입 게이트
N-001,06,Production,부족자산·신규촬영·AI·Package 범위 확정,WORK,NOT STARTED,HIGH,CL-003,New Production Plan,실제 부족분만 정의,2026-08-09,
N-002,06,Production,승인된 신규 제작 실행,WORK,NOT STARTED,HIGH,N-001,신규 승인 자산,사용자 승인 범위만 제작,2026-08-09,
P-001,07,Prototype,Final Prototype 구현,CODEX,NOT STARTED,HIGH,N-002,WADIZ Prototype,승인된 Final Story·Visual 뒤 구현,2026-08-17,12 Core 반응형 Full-page Creative Draft는 Final Prototype Task가 아님; Current SKU Match·USER+ChatGPT 전체 페이지 검토·Final Copy·03B Lock 필요; AI Concept Test 2개 REJECT 유지
P-002,07,Prototype,Prototype 검증 및 승인,USER,NOT STARTED,HIGH,P-001,승인된 Final Prototype,모바일·콘텐츠·기술 검토,2026-08-09,
T-001,08,Test,Pre-launch Test 설계,WORK,NOT STARTED,HIGH,P-002,Pre-launch Test Plan,Organic·알림·광고소재 테스트 설계,2026-08-09,
T-002,08,Test,Pre-launch 실행 및 데이터 검토,USER,NOT STARTED,HIGH,T-001,Pre-launch Result,실제 반응데이터 확보,2026-08-09,
L-001,09,Launch,WADIZ 제출·오픈 준비,USER,NOT STARTED,HIGH,T-002,WADIZ Launch,테스트 결과 반영 후 제출,2026-08-09,
L-002,09,Launch,CAC·전환 기준 광고 Scale 판단,CHATGPT,NOT STARTED,HIGH,L-001,Scale Decision,성과가 기준 안일 때만 확대,2026-08-09,
X-001,10,Fulfillment,생산·검수·배송·교환 운영,USER,NOT STARTED,HIGH,L-001,Fulfillment Result,승인된 일정과 정책으로 운영,2026-08-09,
X-002,10,Postmortem,손익·콘텐츠·광고 Postmortem,WORK,NOT STARTED,MEDIUM,X-001,Postmortem Report,실제 결과 기록,2026-08-09,
X-003,10,Next,NEXT JOURNEY 진행 여부 결정,USER,NOT STARTED,MEDIUM,X-002,Next Destination Decision,Postmortem 후 판단,2026-08-09,특정 도시 사전 확정 금지
B-013,01B,Business,Minimum Viable Funding Net Proceeds 역산·조건부 MOQ 구조 개선,WORK,COMPLETE,HIGH,B-012,03_BUSINESS/PROJECT_ECONOMICS.xlsx,Reward·MOQ·캠페인비 입력 확보 후 수식 재검증,2026-08-09,가격·목표금액 결정 아님; WADIZ 비율 수수료·결제수수료·VAT 역산
B-014,01B,Business / Asset,CAP 고우선 제품 증거 수입·현행 SKU 대조,WORK,COMPLETE,HIGH,USER APPROVAL,04_ASSETS/ASSET_INDEX.csv; 04_ASSETS/ASSET_CURATED.md; 90_REPORTS/CAP_ASSET_INTAKE_MANIFEST.csv,현행 재고 직접 실측·NIGHT L 세부치수·최종 지급액만 후속 대조,2026-08-11,사용자 승인 범위에서 원본 보호 COPY 13개; AST-0783~0795 Deep Review; A5/B5/HOLD2/EXCLUDE1; 기존 원본 삭제·이동·덮어쓰기 0
IC-001,ALL,Integrated Campaign,Integrated Launch Campaign 범위와 4개 Channel Layer 확정,WORK,COMPLETE,HIGH,F-001,00_MASTER_PLAN.md,구조 유지 및 Gate 기준으로 관리,2026-08-09,WADIZ·XXXSTUDIO.CO.KR·Organic Social·Paid Media
IC-002,02,Integrated Campaign,Master Campaign Identity와 Channel 역할 설계,WORK,COMPLETE,HIGH,A-012; B-011; MC-007,CAMPAIGN_STRATEGY.md,S-003 승인 상태 유지; 실제 콘텐츠 제작 금지,2026-08-12,S-002 COMPLETE; S-003 APPROVED; 4개 Channel 역할과 Experience Device 체계 유지
IC-003,02,Integrated Campaign,TREND SCAN 1 — Campaign Strategy 시점,WORK,COMPLETE,MEDIUM,IC-002,TREND_SCAN_1_20260810.md,PHASE 06 직전 TREND SCAN 2까지 기준 유지,2026-08-10,Creative Trend Reference와 2025~2026 WADIZ Direct Validation 분리; ADERERROR·Gentle Monster 실험 원칙 참고; Prada·Loewe 무드 모방 금지
IC-004,02,Integrated Campaign,Master Message와 Channel Message Hierarchy 정의,WORK,COMPLETE,HIGH,IC-002; IC-003,CHANNEL_MESSAGE_HIERARCHY.md,S-003 승인 상태 유지; Final Copy 작성 금지,2026-08-12,S-002 COMPLETE; S-003 APPROVED; Campaign Architecture V2와 4개 채널 적용·금지사항 유지
IC-005,03B,Integrated Campaign,WADIZ와 Website 가격·판매정책 일관성 검증,WORK,NOT STARTED,HIGH,C-005; B-005; B-009,Website Sales Policy,03A 후보와 계정별 WADIZ 정책 확인 후 구매 유지·제한·CTA 판단,2026-08-11,[WADIZ CONFIRM REQUIRED]
IC-006,03B,Integrated Campaign,Paid CAC 허용한도와 Scale Guardrail 검증,WORK,NOT STARTED,HIGH,C-002,Paid Scale Guardrail,단위 경제성 승인 후 계산,2026-08-11,대규모 선집행 금지
IC-007,04,Integrated Campaign,CHANNEL NARRATIVE MAP(채널 서사 지도) 작성,WORK,COMPLETE,HIGH,ST-001,Channel Narrative Map(채널 서사 지도),V-001 기준을 IC-008 후속 Integrated Visual System(통합 비주얼 시스템)에 전달,2026-08-14,STORY_MASTER 7개 Story(스토리) 요소의 WADIZ·Website(웹사이트)·Organic(자연 유입형 SNS)·Paid(유료 광고) 역할과 동일 Copy(문구)·콘텐츠 복제 금지 원칙을 ST-002에서 검토 완료; 제작·배포 아님
IC-008,05,Integrated Campaign,4개 채널 Integrated Visual System(통합 비주얼 시스템) 정의,WORK,COMPLETE,HIGH,V-001,05_STRATEGY/07_INTEGRATED_VISUAL_SYSTEM__통합_비주얼_시스템.md,USER + CHATGPT STORY + AI HERO INTEGRATION REVIEW; Content Clearance·V-002·실제 제작 금지,2026-08-18,WADIZ·Website·Organic·Paid 역할 유지; Section07 공식 Product Evidence와 Section08 Actual Worn Editorial 분리; Motion Slot은 HOLD; 실제 제작·배포 아님
IC-009,06,Integrated Campaign,TREND SCAN 2 — Content Production 직전,WORK,NOT STARTED,MEDIUM,CL-003,Trend Scan 2 기록,제작 직전 최신 형식·감도 Quick Research,2026-08-09,브랜드 부적합 Trend 제외
IC-010,06,Integrated Campaign,WADIZ Assets 제작,WORK,NOT STARTED,HIGH,N-001; IC-009,WADIZ Assets,승인된 Story·Visual·Clearance만 사용,2026-08-09,신규 제작 범위 승인 필수
IC-011,06,Integrated Campaign,Website Campaign Assets 제작,WORK,NOT STARTED,HIGH,N-001; IC-009,Website Campaign Assets,승인된 Website 정책과 Visual 사용,2026-08-09,실제 사이트 수정은 PHASE 07 승인 후
IC-012,06,Integrated Campaign,Organic Social Content Batch 제작,WORK,NOT STARTED,HIGH,N-001; IC-009,Organic Content Batch,Instagram·YouTube 역할별 제작,2026-08-09,Paid 소재와 분리
IC-013,06,Integrated Campaign,Paid Creative Test Set 제작,WORK,NOT STARTED,HIGH,N-001; IC-009; IC-006,Paid Creative Test Set,Hook·Audience·DAY/NIGHT 변형 설계,2026-08-09,CAC Guardrail 연결
IC-014,07,Integrated Campaign,Tracking·UTM·Analytics Plan 구축,WORK,NOT STARTED,HIGH,P-001,Tracking / UTM / Analytics Plan,4개 채널 유입·전환 연결 검증,2026-08-09,개인정보·플랫폼 정책 준수
IC-015,08,Integrated Campaign,TREND SCAN 3 — Open Alert·Launch 직전,WORK,NOT STARTED,MEDIUM,T-001,Trend Scan 3 기록,Launch 직전 Quick Research와 최종 적합도 확인,2026-08-09,콘셉트 변경이 아닌 실행 보정
IC-016,08,Integrated Campaign,4개 채널 PRE-LAUNCH READINESS GATE 검증,WORK,NOT STARTED,HIGH,T-002; IC-014; IC-015,Pre-launch Readiness Gate,미통과 항목이 있으면 Launch Ready 금지,2026-08-09,Claims·Clearance·Policy·Mobile·Tracking·MFV·CAC 포함
IC-017,09,Integrated Campaign,Integrated Launch Campaign Data Loop 운영,WORK,NOT STARTED,HIGH,IC-016,Integrated Campaign Data Loop,전환·CAC·공헌이익 기준 안에서만 Paid 확대,2026-08-09,WADIZ·Website·Instagram·YouTube·Paid 통합
IC-018,10,Integrated Campaign,채널별 성과·자산 재사용 Postmortem,WORK,NOT STARTED,MEDIUM,IC-017; X-001,Integrated Campaign Postmortem,실제 성과와 다음 Journey 반영,2026-08-09,다음 도시 사전 확정 금지
